Description	lacZ 1	lacZ 2	lacZ 3	lacZ 4	lacZ 5	lacZ 6	HA cont 1	HA cont 2	HA cont 3	HA cont 4	HA chol 1	HA chol 2	HA chol 3	HA chol 4	HA bor 1	HA bor 2	HA bor 3	HA bor 4
C1QC_MOUSE Complement C1q subcomponent subunit C	1.535282919	0.370687151	0.323889135	0.904629641	0.649729662	1.511530428	0.777773842	0.577176127	1.414503212	0.986146346	3.184322146	2.091583282	1.577584966	2.123941254	1.334933144	0.667099088	0.509197864	1.498895246
C1QA_MOUSE Complement C1q subcomponent subunit A	1.370719408	0.392541033	0.20092897	0.800431772	0.476917904	1.449608928	0.834313762	0.639921928	0.990726344	0.728859108	1.928599846	2.502201714	1.300104994	1.449797681	1.310285322	0.620619948	0.400744393	1.095147876
C1QB_MOUSE Complement C1q subcomponent subunit B	1.266015289	0.321846766	0.256889394	0.730557411	0.697017224	0.974750963	0.72019986	0.59360965	0.872743195	0.792398489	1.637454371	2.232102938	0.992027812	1.336549386	0.953628731	0.517328084	0.809565871	1.113165812
CP2A5_MOUSE Cytochrome P450 2A5	1.029371485	1.087852892	0.440605806	1.04484098	0.7321683	1.628950727	0.93103328	0.873620927	0.83585358	1.040795783	1.136624285	1.352333073	1.805223446	1.538568756	1.384900988	1.220156696	1.063524463	1.810550965
FLNA_MOUSE Filamin-A	1.211877131	0.93137205	1.236876707	0.810338486	0.787609671	0.902978492	0.802582243	0.674220831	0.924930635	0.714320403	1.077094043	1.505802413	1.013614078	1.297901022	0.884057787	1.329672893	0.629356059	0.677759685
ENOA_MOUSE Alpha-enolase	2.985595602	1.241476669	0.392865888	0.892178985	2.59552169	0.926122967	1.015247673	1.119226685	0.851398316	0.809177076	1.770404148	2.434680492	0.819932571	0.886010002	1.461078144	2.249921919	2.047230926	0.864980469
LRC59_MOUSE Leucine-rich repeat-containing protein 59	1.00241735	1.652589009	0.377359017	0.991108444	0.760312868	1.487926597	1.622282391	1.001050192	1.074289833	0.948066266	1.540745521	1.379508663	3.03145967	1.192822172	0.888553676	1.184547291	0.908719662	1.359188213
AP1G1_MOUSE AP-1 complex subunit gamma-1	0.465749406	0.63347248	2.260384486	1.452144775	2.644104975	1.043604457	0.619422216	0.807741961	0.828430155	2.036605687	0.378401676	0.66618945	4.723157748	0.74360264	0.553912926	0.491103677	2.073920341	0.838961637
PDIA3_MOUSE Protein disulfide-isomerase A3	0.930139441	2.034396126	0.38855257	0.764779365	0.615652837	1.369769189	1.442438993	0.975527074	0.575405798	0.640158311	1.637370002	1.316385757	0.987729751	1.346450656	1.157817849	1.499331257	0.936804131	1.579795535
KPYM_MOUSE Pyruvate kinase PKM	3.296121842	1.471888559	0.41132838	0.838738007	1.516584776	0.918907431	1.188780089	1.215466568	1.187739212	0.857655923	2.082080238	2.002466568	0.948794481	1.293054505	2.396463596	3.704814264	2.108440503	3.470538008
PRDX4_MOUSE Peroxiredoxin-4	1.198736643	1.264171553	0.775408839	0.95408293	1.095341554	0.921635021	0.999180776	0.774613316	1.234410211	0.872380996	1.946920437	1.133023505	1.035605737	1.388230807	1.196768443	1.444184537	2.70294172	6.390282095
RL29_MOUSE 60S ribosomal protein L29	1.346777343	2.070215768	0.651730045	0.665842395	0.369564817	0.675773561	1.88906803	1.86889257	0.85908425	0.81210483	1.935600383	1.753388293	2.634884616	1.355056332	0.87608797	0.659234044	0.443342118	0.603294565
FMO5_MOUSE Dimethylaniline monooxygenase [N-oxide-forming] 5	0.663271087	1.269941316	0.558150839	0.935062405	0.705971269	1.609419351	0.944926589	0.808626456	0.828510194	0.865677971	1.306117193	1.129453177	1.081699833	1.314631652	0.798526633	1.075186143	0.621266126	1.302432135
