Annotation Cluster 1	Enrichment Score: 9.445469984057025
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0016023~cytoplasmic membrane-bounded vesicle	20	21.978021978021978	3.567691098388314E-11	EGFR, P4HB, CLTB, MYO6, PDIA3, PIK3C2A, PDIA4, CLTC, PRDX1, DAB2, HSP90B1, AP2A2, PICALM, AP2A1, SND1, MYH11, HSPA5, CLINT1, HSPA8, AP2M1	87	414	12504	6.9431950691321	7.2067349865534425E-9	1.8016836911272094E-9	4.4790160469432294E-8
GOTERM_CC_FAT	GO:0031988~membrane-bounded vesicle	20	21.978021978021978	4.571978232413968E-11	EGFR, P4HB, CLTB, MYO6, PDIA3, PIK3C2A, PDIA4, CLTC, PRDX1, DAB2, HSP90B1, AP2A2, PICALM, AP2A1, SND1, MYH11, HSPA5, CLINT1, HSPA8, AP2M1	87	420	12504	6.844006568144499	9.235391784656599E-9	1.8470783791357803E-9	5.739835273743665E-8
GOTERM_CC_FAT	GO:0031410~cytoplasmic vesicle	21	23.076923076923077	1.562607706562826E-10	EGFR, P4HB, CLTB, MYO6, PDIA3, AP1B1, PIK3C2A, PDIA4, CLTC, PRDX1, DAB2, HSP90B1, AP2A2, PICALM, AP2A1, SND1, MYH11, HSPA5, CLINT1, HSPA8, AP2M1	87	508	12504	5.941352158566387	3.15646775383982E-8	4.5092396483426E-9	1.9617579782860162E-7
GOTERM_CC_FAT	GO:0031982~vesicle	21	23.076923076923077	2.28331103136127E-10	EGFR, P4HB, CLTB, MYO6, PDIA3, AP1B1, PIK3C2A, PDIA4, CLTC, PRDX1, DAB2, HSP90B1, AP2A2, PICALM, AP2A1, SND1, MYH11, HSPA5, CLINT1, HSPA8, AP2M1	87	519	12504	5.815427546342436	4.612288750927007E-8	5.765361077436637E-9	2.86655688075399E-7
GOTERM_CC_FAT	GO:0042470~melanosome	10	10.989010989010989	6.041389411386619E-9	P4HB, HSP90B1, PDIA3, SND1, MYH11, HSPA5, PDIA4, CLTC, PRDX1, HSPA8	87	85	12504	16.908722109533468	1.220359915565794E-6	1.1094187202242978E-7	7.584592554010783E-6
GOTERM_CC_FAT	GO:0048770~pigment granule	10	10.989010989010989	6.041389411386619E-9	P4HB, HSP90B1, PDIA3, SND1, MYH11, HSPA5, PDIA4, CLTC, PRDX1, HSPA8	87	85	12504	16.908722109533468	1.220359915565794E-6	1.1094187202242978E-7	7.584592554010783E-6

Annotation Cluster 2	Enrichment Score: 8.327901554292799
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	mmu03010:Ribosome	14	15.384615384615385	4.3897443895858485E-12	RPS9, RPS2, RPS4X, RPS3, RPS18, RPL7, RPL13A, RPS3A, RPLP0, RPL8, RPL3, RPL7A, RPL4, RPS27A	62	89	5738	14.558173251177964	3.6434599781642873E-10	3.6434599781642873E-10	4.700795308565375E-9
SP_PIR_KEYWORDS	ribosomal protein	14	15.384615384615385	4.852173205199961E-12	RPS9, RPS2, RPS4X, RPS3, RPS18, RPL7, RPL13A, RPS3A, RPLP0, RPL8, RPL3, RPL7A, RPL4, RPS27A	91	177	17854	15.51847023033464	7.908953492119508E-10	1.3181589153532514E-10	5.8774651812143475E-9
SP_PIR_KEYWORDS	ribonucleoprotein	15	16.483516483516482	6.213313523407126E-11	RPS9, RPS2, RPS4X, RPS3, RPS18, RPL7, RPL13A, RPS3A, RPLP0, RPL8, RPL3, RPL4, RPL7A, RPS27A, MVP	91	266	17854	11.063785838221929	1.0127709559881737E-8	1.4468156672720056E-9	7.5263084653443E-8
GOTERM_MF_FAT	GO:0003735~structural constituent of ribosome	13	14.285714285714285	2.2167785833440924E-10	RPS18, RPL7, RPL13A, RPS3A, RPLP0, RPL8, RPL3, RPS9, RPL4, RPS4X, RPS2, RPS27A, RPS3	87	151	13288	13.149425287356323	3.8793631418343466E-8	3.8793631418343466E-8	2.717664093765393E-7
