Gene Symbol,lacZ 1,lacZ 2,lacZ 3,lacZ 4,lacZ 5,lacZ 6,HA cont 1,HA cont 2,HA cont 3,HA cont 4,HA chol 1,HA chol 2,HA chol 3,HA chol 4,HA bor 1,HA bor 2,HA bor 3,HA bor 4
C1qc,0.618504537,-1.431725985,-1.626428022,-0.144600827,-0.622088525,0.596010022,-0.362577379,-0.792916467,0.500295453,-0.020126333,1.670986296,1.064595444,0.657717708,1.086743863,0.416767491,-0.584027026,-0.973701728,0.58389956
C1qa,0.454933276,-1.349084624,-2.315242504,-0.321149661,-1.06818715,0.535663746,-0.261338052,-0.64403219,-0.01344148,-0.456288134,0.947553838,1.323198097,0.378628137,0.535851586,0.389881001,-0.688218025,-1.319245758,0.131125688
C1qb,0.340294827,-1.635554123,-1.960780768,-0.452930442,-0.520733788,-0.036894419,-0.473530776,-0.752413549,-0.196370892,-0.335701966,0.711454705,1.158403561,-0.011547527,0.418513147,-0.068500393,-0.950848584,-0.304779624,0.154668505
Cyp2a5,0.041763723,0.121483477,-1.182439588,0.063283387,-0.449752783,0.703942965,-0.103095356,-0.194920679,-0.258677853,0.057687021,0.184755445,0.435450524,0.852177421,0.621588917,0.469782836,0.287066435,0.088853219,0.856428787
Flna,0.277243436,-0.102570507,0.306701699,-0.303403433,-0.344447268,-0.14723647,-0.317278857,-0.568706893,-0.11258292,-0.485356765,0.10714422,0.590532476,0.019508467,0.376180367,-0.17778742,0.411071379,-0.668051641,-0.561154271
Eno1,1.578018766,0.31205715,-1.347891189,-0.164594928,1.376024544,-0.110724334,0.021831721,0.162502265,-0.232093859,-0.305472646,0.824078736,1.283732457,-0.286422824,-0.17460511,0.547033341,1.169874935,1.033673846,-0.209260537
Lrrc59,0.00348329,0.724727977,-1.405990349,-0.012885174,-0.395334887,0.573303357,0.698024971,0.001514311,0.103383272,-0.076940194,0.623628598,0.464154517,1.600012629,0.25437898,-0.170469165,0.244335797,-0.138092801,0.442745247
Ap1g1,-1.102374166,-0.65864615,1.176568192,0.538185293,1.402779455,0.061575011,-0.691004967,-0.308033607,-0.271548027,1.026166683,-1.402009617,-0.585995588,2.239751721,-0.427396204,-0.852268891,-1.025900472,1.052360482,-0.253323252
Pdia3,-0.104481083,1.02460062,-1.363818291,-0.386884497,-0.699811041,0.453932814,0.528510302,-0.035746183,-0.797348337,-0.643499368,0.711380369,0.396582322,-0.017811729,0.42916136,0.211408303,0.584319162,-0.094180657,0.659737849
Pkm,1.720769573,0.557668445,-1.281637478,-0.253707863,0.600826146,-0.122008561,0.249481858,0.281510211,0.248218104,-0.221529115,1.058025667,1.001778156,-0.075832476,0.370783089,1.260907024,1.889401217,1.076176312,1.795159329
