id,group,C1qA,C1qB,C1qC
lacZ 1,lacZ,1.370719408,1.266015289,1.535282919
lacZ 2,lacZ,0.392541033,0.321846766,0.370687151
lacZ 3,lacZ,0.20092897,0.256889394,0.323889135
lacZ 4,lacZ,0.800431772,0.730557411,0.904629641
lacZ 5,lacZ,0.476917904,0.697017224,0.649729662
lacZ 6,lacZ,1.449608928,0.974750963,1.511530428
HA cont 1,Nrf1-HA chow,0.834313762,0.72019986,0.777773842
HA cont 2,Nrf1-HA chow,0.639921928,0.59360965,0.577176127
HA cont 3,Nrf1-HA chow,0.990726344,0.872743195,1.414503212
HA cont 4,Nrf1-HA chow,0.728859108,0.792398489,0.986146346
HA chol 1,Nrf1-HA chol,1.928599846,1.637454371,3.184322146
HA chol 2,Nrf1-HA chol,2.502201714,2.232102938,2.091583282
HA chol 3,Nrf1-HA chol,1.300104994,0.992027812,1.577584966
HA chol 4,Nrf1-HA chol,1.449797681,1.336549386,2.123941254
HA bor 1,Nrf1-HA bort,1.310285322,0.953628731,1.334933144
HA bor 2,Nrf1-HA bort,0.620619948,0.517328084,0.667099088
HA bor 3,Nrf1-HA bort,0.400744393,0.809565871,0.509197864
HA bor 4,Nrf1-HA bort,1.095147876,1.113165812,1.498895246
