id,group,lrp1,c3,calr,grp78,SerpinB5,Sfn,Eno1,C1qc,C1qa,Gstm1,Ap1g1,C1qb,Flna,Cyp1a2,Gpx1,Pkm,Cyp2a5,Cyp2c50,Arpc4,Myh9,Aldoa,Ppia,Cyp2d26,Hspa5,Pdia3,Ahnak,Ces2a,Mup2,Actb,Myl6,Fmo5,Cyp2c37,Actn4,Tuba1a,Tuba4a,Prdx4,Slc27a5
lacZ 1,lacZ,1.046731548,1.138977548,0.802515383,1.05019627,2.855462565,4.495378928,2.985595602,1.535282919,1.370719408,0.46961589,0.465749406,1.266015289,1.211877131,0.811593064,0.486884237,3.296121842,1.029371485,0.7566674,0.885942052,0.124673587,4.98592197,2.625367994,0.795507463,1.021156056,0.930139441,4.519989964,0.712080413,0.999364513,0.486856008,0.280839887,0.663271087,0.743383077,1.249668738,2.337296334,2.13653882,1.198736643,0.727035736
lacZ 2,lacZ,1.119140617,1.330653506,2.10350909,1.49918245,1.490982131,1.607168689,1.241476669,0.370687151,0.392541033,1.039017574,0.63347248,0.321846766,0.93137205,1.354979694,0.791210268,1.471888559,1.087852892,0.750484839,0.608793693,0.116956647,2.132490327,1.997360592,1.902760161,1.653022866,2.034396126,1.277836583,1.41860432,2.782019259,0.361335443,0.157328271,1.269941316,1.003833471,0.712527291,0.950742071,0.811629207,1.264171553,0.975974822
lacZ 3,lacZ,0.934988978,0.706564876,0.485283362,0.479449371,0.338991178,0.587204586,0.392865888,0.323889135,0.20092897,1.031689303,2.260384486,0.256889394,1.236876707,0.54990729,2.227987205,0.41132838,0.440605806,0.997567387,1.47822151,1.914542625,0.492208736,0.429232619,0.430416935,0.439888296,0.38855257,0.913348074,0.746235111,0.483598267,2.221013906,2.691975988,0.558150839,0.836999071,1.373806788,0.980915984,1.520921391,0.775408839,1.02410886
lacZ 4,lacZ,0.742518409,0.913696896,0.868385229,0.817299309,2.14219119,1.308143795,0.892178985,0.904629641,0.800431772,1.400104492,1.452144775,0.730557411,0.810338486,1.672880574,1.228192479,0.838738007,1.04484098,1.36200619,1.458835148,0.817059265,1.122596868,1.183845004,1.060918608,0.827532544,0.764779365,1.279598904,1.191390669,1.18547051,1.232638228,1.079746433,0.935062405,1.131625198,1.232365303,1.042103427,1.188646841,0.95408293,1.48588468
lacZ 5,lacZ,0.993851258,0.683910953,0.639101693,0.69256027,14.16072769,4.019392817,2.59552169,0.649729662,0.476917904,1.262661662,2.644104975,0.697017224,0.787609671,1.136316898,1.242647131,1.516584776,0.7321683,0.84492182,2.875211415,1.143890533,2,1.3651038,0.646675165,0.677086181,0.615652837,1.515378053,0.80586074,0.890157025,1.815007455,1.456633164,0.705971269,0.757281127,2.047413493,2.544885323,1.360484754,1.095341554,0.938137772
lacZ 6,lacZ,1.0004126,0.990122665,1.075436393,1.111214775,1.935934778,1.360569259,0.926122967,1.511530428,1.449608928,2.214691627,1.043604457,0.974750963,0.902978492,2.666383206,1.622830079,0.918907431,1.628950727,1.79820782,1.407783466,0.599199613,1.290004512,1.342025862,1.865276007,1.336270531,1.369769189,1.080590287,1.955272216,2.768773538,0.988908987,0.810631679,1.609419351,1.635636094,1.151354084,1.143612104,1.268001415,0.921635021,1.371759336
HA cont 1,Nrf1-HA chow,1.149407009,1.093410075,1.576812003,1.062915327,1.176819724,0.928098797,1.015247673,0.777773842,0.834313762,0.6226305,0.619422216,0.72019986,0.802582243,1.379779936,0.829412479,1.188780089,0.93103328,0.796726274,0.568468236,0.172257086,1.274437069,1.283416238,1.10064117,1.068483267,1.442438993,1.050337544,0.919808229,1.70397797,0.334475756,0.379384601,0.944926589,0.837563076,0.58695102,0.828451258,0.630159902,0.999180776,0.751232533
HA cont 2,Nrf1-HA chow,1.209562953,1.182085967,1.068280326,0.770553168,1.158273694,0.898185325,1.119226685,0.577176127,0.639921928,0.564399727,0.807741961,0.59360965,0.674220831,0.55594308,0.593975787,1.215466568,0.873620927,0.392553986,0.65895088,0.346451338,1.4937711,1.135929532,0.678002989,0.737197246,0.975527074,1.141301876,0.686652277,0.647769177,0.606535207,0.47855354,0.808626456,0.539786136,0.622441265,0.86144492,0.685879459,0.774613316,0.607773611
HA cont 3,Nrf1-HA chow,0.809827981,0.914437496,0.538420159,0.650250279,2.175532098,1.700748086,0.851398316,1.414503212,0.990726344,0.780315245,0.828430155,0.872743195,0.924930635,0.866940123,0.83968268,1.187739212,0.83585358,0.950268018,1.287643166,0.70004995,1.312618987,1.163784307,0.633737397,0.726251814,0.575405798,1.786799558,0.628728712,0.469405114,0.844631483,0.703796439,0.828510194,0.771592307,0.988592195,1.152498474,1.194877442,1.234410211,1.105817679
HA cont 4,Nrf1-HA chow,0.788381091,0.658944584,0.635535383,0.665786246,1.428880305,0.801814023,0.809177076,0.986146346,0.728859108,0.747665399,2.036605687,0.792398489,0.714320403,1.239163179,1.309005931,0.857655923,1.040795783,1.069836357,1.390211925,0.896682036,1.153327244,0.833101689,0.892498938,0.69689649,0.640158311,0.995754819,0.956659404,0.854911183,1.309204614,1.406726838,0.865677971,0.950482061,1.271227682,1.268845382,1.080313128,0.872380996,1.221963076
